gps_sow, latitude, longitude, height
391497.5,  51.711956113,  -0.210231011,  145.2800
391498.0,  51.711956321,  -0.210231532,  145.3058
391498.5,  51.711956134,  -0.210231791,  145.2136
391499.0,  51.711956164,  -0.210231750,  145.1162
391499.5,  51.711956023,  -0.210231963,  145.0553
391500.0,  51.711956113,  -0.210231596,  144.8542
391500.5,  51.711955920,  -0.210231710,  144.7477
391501.0,  51.711955317,  -0.210231946,  144.6874
391501.5,  51.711954906,  -0.210232464,  144.6560
391502.0,  51.711954717,  -0.210232575,  144.5633
391502.5,  51.711954834,  -0.210232487,  144.4672
391503.0,  51.711954966,  -0.210232552,  144.3992
391503.5,  51.711954510,  -0.210232913,  144.3733
391504.0,  51.711954356,  -0.210232915,  144.2702
391504.5,  51.711954748,  -0.210233264,  144.2942
391505.0,  51.711954888,  -0.210233526,  144.2946
391505.5,  51.711954967,  -0.210233796,  144.2638
391506.0,  51.711954895,  -0.210234074,  144.2195
391506.5,  51.711955002,  -0.210234165,  144.1215
391507.0,  51.711955096,  -0.210234337,  144.0746
391507.5,  51.711955170,  -0.210234483,  144.0339
391508.0,  51.711955314,  -0.210234491,  143.9432
391508.5,  51.711955229,  -0.210234501,  143.8730
391509.0,  51.711955240,  -0.210234549,  143.8351
391509.5,  51.711955429,  -0.210234584,  143.7220
391510.0,  51.711955560,  -0.210234614,  143.6503
391510.5,  51.711955519,  -0.210234495,  143.5243
391511.0,  51.711955545,  -0.210234517,  143.4630
391511.5,  51.711955673,  -0.210234641,  143.4324
391512.0,  51.711955599,  -0.210234869,  143.3997
391512.5,  51.711955541,  -0.210234792,  143.3316
391513.0,  51.711955359,  -0.210234723,  143.2521
391513.5,  51.711955236,  -0.210234979,  143.2237
391514.0,  51.711955116,  -0.210235025,  143.1587
391514.5,  51.711955155,  -0.210234938,  143.0197
391515.0,  51.711955106,  -0.210234757,  142.8965
391515.5,  51.711955219,  -0.210234628,  142.8217
391516.0,  51.711955233,  -0.210234488,  142.7332
391516.5,  51.711955583,  -0.210234391,  142.6692
391517.0,  51.711955582,  -0.210234490,  142.6800
391517.5,  51.711955504,  -0.210234523,  142.6187
391518.0,  51.711955432,  -0.210234323,  142.5285
391518.5,  51.711955402,  -0.210234149,  142.4600
391519.0,  51.711955598,  -0.210233874,  142.3873
391519.5,  51.711955620,  -0.210233846,  142.3562
391520.0,  51.711955699,  -0.210233661,  142.2456
391520.5,  51.711955702,  -0.210233537,  142.1895
391521.0,  51.711955735,  -0.210233454,  142.1659
391521.5,  51.711955932,  -0.210233382,  142.1536
391522.0,  51.711956141,  -0.210233448,  142.0912
391522.5,  51.711956336,  -0.210233465,  142.0657
391523.0,  51.711956666,  -0.210233516,  142.0498
391523.5,  51.711956857,  -0.210233670,  142.0018
391524.0,  51.711956938,  -0.210233682,  141.9492
391524.5,  51.711957112,  -0.210233654,  141.9184
391525.0,  51.711957290,  -0.210233658,  141.8818
391525.5,  51.711957371,  -0.210233750,  141.8439
391526.0,  51.711957522,  -0.210233991,  141.8054
391526.5,  51.711957676,  -0.210234047,  141.7516
391527.0,  51.711957723,  -0.210234159,  141.6994
391527.5,  51.711957678,  -0.210234148,  141.6228
391528.0,  51.711957688,  -0.210234155,  141.5618
391528.5,  51.711957806,  -0.210234176,  141.5154
391529.0,  51.711957875,  -0.210234259,  141.4687
391529.5,  51.711957769,  -0.210234297,  141.4127
391530.0,  51.711957651,  -0.210234493,  141.3928
391530.5,  51.711957425,  -0.210234636,  141.3621
391531.0,  51.711957383,  -0.210234760,  141.3156
391531.5,  51.711957406,  -0.210234962,  141.2815
391532.0,  51.711957365,  -0.210235009,  141.2274
391532.5,  51.711957317,  -0.210235123,  141.1935
391533.0,  51.711957179,  -0.210235275,  141.1776
391533.5,  51.711956975,  -0.210235423,  141.1443
391534.0,  51.711956891,  -0.210235511,  141.1169
391534.5,  51.711957008,  -0.210235667,  141.1123
391535.0,  51.711956794,  -0.210235872,  141.0951
391535.5,  51.711956664,  -0.210236109,  141.0732
391536.0,  51.711956508,  -0.210236353,  141.1018
391536.5,  51.711956392,  -0.210236663,  141.1365
391537.0,  51.711956303,  -0.210236930,  141.1629
391537.5,  51.711956186,  -0.210236987,  141.1814
391538.0,  51.711956151,  -0.210237202,  141.1726
391538.5,  51.711956065,  -0.210237404,  141.1879
391539.0,  51.711956211,  -0.210237529,  141.1729
391539.5,  51.711956291,  -0.210237729,  141.1852
391540.0,  51.711956275,  -0.210237797,  141.1382
391540.5,  51.711956262,  -0.210238202,  141.2093
391541.0,  51.711956301,  -0.210238334,  141.2025
391541.5,  51.711956208,  -0.210238547,  141.1909
391542.0,  51.711956261,  -0.210238660,  141.1891
391542.5,  51.711956215,  -0.210238826,  141.1954
391543.0,  51.711956207,  -0.210239032,  141.1945
391543.5,  51.711956196,  -0.210239211,  141.1994
391544.0,  51.711956193,  -0.210239454,  141.2056
391544.5,  51.711955974,  -0.210239702,  141.2259
391545.0,  51.711955779,  -0.210239964,  141.2501
391545.5,  51.711955637,  -0.210240319,  141.2662
391546.0,  51.711955582,  -0.210240586,  141.2639
391546.5,  51.711955431,  -0.210240775,  141.2480
391547.0,  51.711955291,  -0.210240999,  141.2543
391547.5,  51.711955119,  -0.210241336,  141.2790
391548.0,  51.711955001,  -0.210241545,  141.2792
391548.5,  51.711954844,  -0.210241618,  141.2876
391549.0,  51.711954684,  -0.210241675,  141.3033
391549.5,  51.711954491,  -0.210241904,  141.3422
391550.0,  51.711954285,  -0.210242162,  141.3781
391550.5,  51.711954231,  -0.210242269,  141.3900
391551.0,  51.711954190,  -0.210242283,  141.3998
391551.5,  51.711954184,  -0.210242291,  141.3864
391552.0,  51.711954162,  -0.210242463,  141.4107
391552.5,  51.711954165,  -0.210242586,  141.4192
391553.0,  51.711954124,  -0.210242767,  141.4485
391553.5,  51.711954100,  -0.210242838,  141.4615
391554.0,  51.711954102,  -0.210242879,  141.4777
391554.5,  51.711954107,  -0.210242898,  141.4742
391555.0,  51.711954084,  -0.210242956,  141.4762
391555.5,  51.711954160,  -0.210242937,  141.5007
391556.0,  51.711954096,  -0.210242964,  141.5221
391556.5,  51.711954049,  -0.210243073,  141.5367
391557.0,  51.711954099,  -0.210243037,  141.5417
391557.5,  51.711954110,  -0.210243016,  141.5495
391558.0,  51.711954076,  -0.210243075,  141.5683
391558.5,  51.711954104,  -0.210243022,  141.5717
391559.0,  51.711954108,  -0.210243149,  141.5764
391559.5,  51.711954143,  -0.210243118,  141.6007
391560.0,  51.711954060,  -0.210243223,  141.6107
391560.5,  51.711954040,  -0.210243366,  141.6203
391561.0,  51.711954020,  -0.210243469,  141.6199
391561.5,  51.711954003,  -0.210243491,  141.6259
