timestamp,rssi,packet_length,bits_error
16996,60,792,0
17057,54,840,0
17084,42,288,0
17121,36,200,0
17171,42,648,0
17208,36,432,0
17245,39,752,0
17280,33,664,9
17361,21,168,0
17398,24,864,195
17469,27,816,0
17511,24,312,0
17556,27,728,0
17592,24,88,0
17669,24,648,0
17711,24,168,0
17757,24,392,0
17793,24,120,0
17857,24,288,0
17883,27,560,0
17939,27,40,0
17969,24,432,0
18006,24,520,33
18046,27,256,0
18120,30,264,2
18266,36,24,0
18295,36,552,0
18357,39,104,0
18384,39,616,0
18420,36,16,0
18471,33,384,0
18508,30,232,0
18580,33,592,0
18617,21,136,0
18668,33,464,0
18705,42,824,0
18742,30,128,0
18778,36,552,0
18851,33,216,0
18888,24,720,5
19015,36,816,0
19083,30,408,0
19151,39,648,0
19207,27,488,1
19251,24,856,148
19288,33,352,0
19413,30,800,0
19445,27,136,0
19752,24,352,0
19952,27,648,0
19989,27,792,2
20068,30,584,0
20111,30,392,4
20177,33,760,0
20259,27,576,0
20306,45,72,0
20350,36,104,0
20406,21,648,2
20456,42,16,0
20494,42,624,7
20712,33,384,0
20805,30,152,0
20858,51,368,0
20894,21,80,0
20974,18,48,0
21011,24,440,0
21110,21,672,0
21213,18,528,0
21256,27,464,0
21468,24,8,0
21505,30,88,0
21565,42,144,0
21606,36,512,0
21652,30,152,0
21688,18,232,1
22094,18,160,1
22175,33,80,0
22212,36,16,0
22267,21,192,0
22310,33,576,0
22407,57,192,0
22462,33,48,0
22492,42,88,0
22556,33,0,0
22606,45,584,0
22651,33,824,48
22708,36,432,0
23498,27,592,0
23537,36,280,0
23614,39,608,0
23666,36,680,0
23703,39,416,0
23754,54,464,0
23790,57,320,0
23881,15,552,0
23949,60,168,0
23986,60,528,0
24022,48,616,0
24061,60,600,0
24104,51,56,0
24150,66,504,0
24186,60,472,0
24223,57,808,0
24263,54,840,0
24307,57,312,0
24371,66,360,0
24414,75,592,73
24466,60,720,177
24503,30,152,0
24554,27,592,0
24581,54,576,0
24693,39,120,0
24772,36,848,194
24810,30,680,0
24891,33,232,0
24962,18,40,0
25011,18,560,3
26685,18,272,20
26722,27,840,0
26778,36,32,0
26792,39,136,0
26853,48,448,0
26880,39,200,0
26961,30,80,0
27037,30,208,0
27074,30,664,0
27202,45,368,0
27248,54,320,0
27285,48,592,0
27455,42,864,0
27765,33,800,0
27802,27,312,127
27853,27,528,0
27880,24,584,0
27917,24,648,0
27990,24,800,0
28011,24,544,32
28067,27,336,0
28079,36,768,38
28149,48,264,0
28186,27,728,0
28264,39,88,0
28303,54,96,0
28352,45,192,0
28418,33,512,0
28470,33,712,0
28491,36,80,0
28564,33,376,0
28611,39,32,0
28665,33,776,12
28761,36,520,0
28802,42,712,0
28848,36,464,0
28885,33,712,0
29433,15,600,12
29784,36,440,15
29821,24,464,0
29938,36,360,0
30015,39,800,0
30053,18,328,99
30151,24,168,0
30180,48,152,0
30239,60,688,4
30274,42,784,0
30437,30,584,3
30471,33,464,0
30535,30,328,0
30572,24,608,0
30631,21,96,0
30663,33,384,0
30700,48,808,0
30763,36,264,0
30800,27,40,0
30863,48,80,0
30879,27,704,18
31010,21,0,0
31050,21,608,1
31368,30,168,38
31407,36,560,0
31450,33,24,0
31486,39,200,0
31551,39,408,0
31578,42,552,0
31615,48,632,0
31667,48,560,30
31789,54,64,0
31853,66,56,0
31880,66,792,0
31917,63,224,0
31958,66,56,0
31989,54,8,0
32031,48,344,0
32147,36,200,0
32200,39,648,0
32247,54,392,0
32284,45,176,0
32350,36,728,7
32378,36,32,0
32509,63,512,0
32599,66,152,0
32662,75,16,0
32677,69,608,0
32749,54,816,0
32775,39,408,0
32836,66,376,71
32874,66,144,0
32959,30,816,94
33002,12,152,0
33053,21,560,3
33086,24,376,2
33186,33,496,0
33249,36,712,0
33314,27,592,1
33355,36,392,0
33386,18,312,56
33450,24,168,0
33642,24,384,8
33843,24,120,0
34030,24,176,0
34067,24,696,7
34744,27,120,0
34781,33,864,0
34819,36,728,0
34862,45,368,0
34888,36,32,0
34951,36,600,0
35051,39,96,0
35066,39,288,0
35091,42,776,0
35144,36,656,0
35218,42,632,0
35298,42,232,0
35343,27,32,0
35380,15,464,2
35417,42,720,0
35457,54,512,0
35498,36,176,0
35545,45,40,0
35582,36,400,0
35648,36,232,0
35675,33,48,0
35751,36,16,0
35788,42,768,0
35832,21,408,4
36182,36,520,0
36266,33,544,3
36334,27,328,0
36372,18,792,2
36455,27,720,225
36497,30,432,0
36565,21,464,0
36602,15,200,0
36779,27,800,0
36816,30,48,0
36861,42,656,0
36900,36,472,0
36945,45,824,0
36982,45,824,0
37047,48,24,0
37074,42,0,0
37111,39,672,0
37177,27,808,0
37233,45,568,0
37376,60,40,0
37396,72,408,4
37450,66,168,0
37497,75,144,0
37544,81,632,0
37581,81,728,0
37705,72,584,0
37746,54,560,0
37774,57,712,177
37886,54,128,0
37958,54,232,0
37997,51,752,189
38080,51,440,0
38117,36,352,0
38741,33,112,0
38796,21,584,4
38880,27,648,2
40071,18,520,22
40283,21,16,0
40681,24,464,0
40728,39,248,0
40764,42,0,0
40803,36,848,0
40857,33,440,0
40894,36,600,0
40945,33,808,0
40974,33,440,0
41181,30,632,0
41225,39,208,0
41257,27,448,0
41294,18,352,0
41344,24,16,0
41372,18,480,8
41503,18,360,3
41557,30,720,28
41639,36,648,0
41676,27,104,0
41713,30,568,0
41769,42,792,109
41957,30,656,0
41969,39,384,154
42025,36,648,0
42057,57,152,0
42094,51,752,152
42144,51,40,0
42174,57,168,0
42295,84,576,0
42342,87,720,0
42394,75,16,0
42440,60,624,10
42477,42,384,0
42544,78,80,0
42572,69,352,0
42609,21,0,0
42649,18,456,36
43602,30,408,0
43658,36,264,0
43728,30,136,0
43823,18,112,2
43927,18,448,13
44560,27,576,0
46437,21,304,0
46640,27,160,0
46692,36,384,0
46745,21,760,17
46891,48,112,0
47157,39,600,0
47198,39,616,0
47241,42,432,0
47327,30,552,0
47362,36,816,0
47423,30,752,0
47454,33,288,0
47491,36,56,0
47541,36,32,0
47570,39,672,0
47607,33,32,0
47647,39,688,0
47681,45,552,0
47741,48,248,0
47769,45,568,0
47828,36,544,0
47862,30,720,149
47903,30,520,0
48059,24,424,11
48096,24,120,0
48198,24,696,0
48253,27,264,0
48454,30,504,0
48491,27,840,0
48741,36,288,0
48770,36,472,0
49090,18,560,5
50022,18,328,5
50058,24,816,1
50324,24,576,7
50470,42,176,0
50507,33,336,0
50555,33,208,0
50590,45,424,0
50672,27,8,0
50789,39,784,0
50862,36,648,0
50899,33,232,16
50990,33,832,0
51055,33,504,0
51096,33,40,0
51163,36,144,30
51175,30,864,0
51263,42,560,0
51300,39,216,0
51353,45,584,0
51425,51,368,0
51463,45,152,0
51501,45,112,0
51555,54,816,0
51588,48,120,0
51640,57,696,0
51705,48,616,148
51768,33,736,0
51890,36,824,0
52088,45,144,0
52141,45,72,0
52238,54,656,0
52266,63,576,2
52303,54,704,0
52343,48,72,0
52388,48,368,0
52434,54,848,0
52471,54,728,0
52538,42,392,0
52639,48,792,0
52676,51,144,0
52733,45,408,0
52770,36,168,0
52850,36,848,0
52933,30,40,0
52970,33,128,0
53007,24,752,103
53065,33,88,0
53194,42,464,146
53250,39,536,0
53287,45,520,0
53353,48,800,0
53394,57,688,162
53450,57,64,0
53557,63,736,0
53572,60,600,0
53604,57,248,5
53644,48,632,0
53677,36,104,0
53751,54,816,189
53788,60,728,0
53837,57,184,0
53865,57,816,8
53924,60,216,0
53990,60,704,0
54036,54,424,0
54073,63,168,0
54157,33,344,1
54196,48,168,60
54250,45,640,199
54286,30,144,0
54337,45,560,0
54364,48,536,135
54475,42,536,0
54533,42,832,0
54607,45,288,0
54722,60,312,0
54823,60,24,0
54945,39,800,0
54976,24,256,50
55106,33,832,16
55186,24,192,0
55295,33,272,0
55367,51,608,0
55423,48,512,0
55461,48,520,0
55499,48,72,0
55567,45,336,0
55623,54,616,0
55661,39,712,0
55725,51,400,0
55786,81,768,0
55838,57,808,0
55866,57,584,26
56017,48,0,0
56049,51,632,64
56152,42,184,0
56189,30,240,0
56274,21,728,156
56440,30,40,0
56488,33,768,136
56522,39,232,0
56616,42,0,0
56635,42,232,0
56663,24,496,0
56749,57,776,0
56786,60,752,0
56838,72,88,0
56956,54,408,0
57124,54,88,0
57158,69,456,86
57199,54,384,0
57238,57,288,0
57276,42,792,0
57320,51,544,0
57356,51,232,0
57395,36,360,0
57452,33,768,0
57475,30,568,0
57535,42,288,0
57563,48,64,0
57600,36,224,0
57865,27,568,4
57935,24,632,4
58196,27,248,3
58286,21,816,1
58335,36,144,0
58368,27,648,46
58554,30,376,0
58628,36,168,0
58665,39,464,0
58815,27,184,0
58852,30,64,0
58967,33,848,0
59034,36,336,0
59063,42,640,0
59121,33,152,0
59159,33,496,0
59198,39,168,0
59319,39,224,22
59357,36,480,0
59421,36,304,0
59460,36,720,0
59518,36,32,0
59550,36,752,0
59587,36,80,0
59637,33,120,0
59666,30,480,0
59868,33,152,0
59905,39,312,0
59948,39,56,0
59988,39,776,0
60041,39,680,0
60129,39,560,0
60167,42,328,0
60247,42,280,0
60284,42,136,0
60360,42,176,0
60372,42,264,0
60397,42,184,0
60447,42,40,6
60484,39,664,0
60530,39,440,0
60567,39,488,70
60717,33,144,0
60847,30,192,0
60884,30,64,0
60950,30,584,0
60988,30,424,0
61085,18,496,1
64253,24,832,0
64290,18,216,0
64560,21,16,0
64616,15,288,2
65687,15,736,2
65826,30,464,0
66464,30,160,0
