secs, centisecs, vread
210,21044,6
210,21081,2
211,21144,13
211,21181,0
212,21268,4
213,21307,4
213,21344,3
213,21381,6
214,21417,12
214,21457,4
214,21493,5
215,21544,4
215,21581,7
216,21640,3
216,21677,8
217,21713,0
217,21756,15
217,21792,13
218,21841,14
218,21878,13
219,21914,3
219,21955,4
219,21992,0
220,22039,12
220,22076,3
221,22113,4
221,22155,1
221,22192,7
222,22255,0
222,22292,7
223,22344,10
223,22381,3
224,22440,3
224,22477,0
225,22514,0
225,22570,3
226,22639,0
226,22676,15
227,22740,4
227,22777,13
228,22813,6
228,22855,8
228,22892,1
229,22937,4
229,22974,0
230,23055,0
230,23092,0
231,23137,2
231,23174,2
232,23210,4
232,23246,2
232,23283,0
233,23337,5
233,23374,0
234,23410,7
234,23446,9
234,23486,1
235,23556,11
235,23593,4
236,23654,6
236,23691,12
237,23742,3
237,23779,2
238,23815,5
238,23855,4
238,23893,1
239,23937,5
239,23974,5
240,24010,6
240,24076,10
241,24138,1
241,24175,0
242,24211,7
242,24278,1
243,24339,0
243,24383,14
244,24454,7
244,24491,2
245,24569,0
246,24605,0
246,24641,10
246,24678,7
247,24714,5
247,24754,6
247,24791,5
248,24843,0
248,24880,7
249,24936,2
249,24977,14
250,25054,12
250,25090,9
251,25139,9
251,25176,0
252,25212,5
252,25254,7
252,25290,4
253,25335,0
253,25373,0
254,25409,7
254,25454,0
254,25491,1
255,25558,4
256,25603,4
256,25640,14
256,25677,14
257,25713,9
257,25753,2
257,25790,0
258,25834,7
258,25871,14
259,25907,0
259,25943,9
259,25980,0
260,26035,0
261,26103,0
261,26141,8
261,26178,7
262,26237,6
262,26275,4
263,26312,5
263,26353,8
263,26390,10
264,26435,6
264,26473,5
265,26510,1
265,26553,6
265,26590,0
266,26636,0
266,26673,12
267,26710,8
267,26765,7
268,26811,11
268,26867,0
269,26905,5
269,26942,0
269,26979,0
270,27050,14
270,27087,13
271,27135,5
271,27172,14
272,27235,0
272,27273,2
273,27310,14
273,27352,0
273,27390,2
274,27436,7
274,27474,2
275,27511,3
275,27552,11
275,27590,2
276,27635,6
276,27673,0
277,27710,1
277,27752,3
277,27790,0
278,27868,3
279,27905,14
280,28023,6
280,28091,14
281,28136,7
281,28174,1
282,28211,13
282,28252,1
282,28289,0
283,28369,10
284,28406,2
284,28458,10
285,28510,0
285,28552,9
285,28589,0
286,28652,9
286,28690,9
287,28735,10
287,28775,0
288,28835,12
288,28873,0
289,28910,12
289,28952,0
289,28990,5
290,29032,2
290,29070,12
291,29107,3
291,29151,0
291,29189,2
292,29233,0
292,29271,6
293,29309,5
293,29351,4
293,29389,0
294,29452,8
294,29490,2
295,29536,14
295,29574,7
296,29611,4
296,29651,8
296,29689,5
297,29734,6
297,29772,0
298,29809,5
298,29863,3
299,29902,1
299,29957,7
300,30002,8
300,30068,0
301,30106,0
301,30168,0
302,30205,13
302,30257,3
303,30301,0
303,30366,0
304,30404,0
304,30455,0
305,30501,11
305,30554,4
305,30592,0
306,30650,13
306,30688,4
