gps_sow, latitude, longitude, height
391526.5,  51.711985119,  -0.210164150,  144.2925
391527.0,  51.711985172,  -0.210164025,  144.2352
391527.5,  51.711985113,  -0.210163958,  144.1647
391528.0,  51.711985093,  -0.210163768,  144.1314
391528.5,  51.711985068,  -0.210163830,  144.0905
391529.0,  51.711985076,  -0.210163637,  144.0533
391529.5,  51.711985047,  -0.210163609,  143.9606
391530.0,  51.711984973,  -0.210163626,  143.9020
391530.5,  51.711984835,  -0.210163714,  143.8390
391531.0,  51.711984592,  -0.210163873,  143.8134
391531.5,  51.711984376,  -0.210164073,  143.7547
391532.0,  51.711984285,  -0.210164270,  143.7286
391532.5,  51.711984155,  -0.210164320,  143.6935
391533.0,  51.711984004,  -0.210164544,  143.6325
391533.5,  51.711983822,  -0.210164718,  143.5650
391534.0,  51.711983607,  -0.210164892,  143.4948
391534.5,  51.711983388,  -0.210165116,  143.4738
391535.0,  51.711983205,  -0.210165269,  143.4425
391535.5,  51.711983094,  -0.210165445,  143.4164
391536.0,  51.711983045,  -0.210165604,  143.3885
391536.5,  51.711983043,  -0.210165760,  143.3533
391537.0,  51.711983051,  -0.210165707,  143.3041
391537.5,  51.711983006,  -0.210165750,  143.2648
391538.0,  51.711982915,  -0.210165938,  143.2169
391538.5,  51.711982767,  -0.210166130,  143.1905
391539.0,  51.711982730,  -0.210166332,  143.1503
391539.5,  51.711982694,  -0.210166468,  143.1237
391540.0,  51.711982605,  -0.210166651,  143.0729
391540.5,  51.711982493,  -0.210166932,  143.0266
391541.0,  51.711982445,  -0.210167117,  142.9912
391541.5,  51.711982379,  -0.210167282,  142.9356
391542.0,  51.711982226,  -0.210167559,  142.9049
391542.5,  51.711982187,  -0.210167752,  142.8690
391543.0,  51.711982112,  -0.210167847,  142.8233
391543.5,  51.711982060,  -0.210167927,  142.7704
391544.0,  51.711982161,  -0.210167862,  142.7127
391544.5,  51.711982127,  -0.210167917,  142.6700
391545.0,  51.711982101,  -0.210167915,  142.6409
391545.5,  51.711982097,  -0.210168098,  142.6015
391546.0,  51.711982083,  -0.210168216,  142.5861
391546.5,  51.711982152,  -0.210168323,  142.5463
391547.0,  51.711982172,  -0.210168543,  142.5050
391547.5,  51.711982175,  -0.210168703,  142.4746
391548.0,  51.711982187,  -0.210168783,  142.4366
391548.5,  51.711982234,  -0.210168808,  142.3969
391549.0,  51.711982199,  -0.210168795,  142.3819
391549.5,  51.711982247,  -0.210168645,  142.3392
391550.0,  51.711982242,  -0.210168628,  142.3166
391550.5,  51.711982220,  -0.210168606,  142.2958
391551.0,  51.711982229,  -0.210168610,  142.2794
391551.5,  51.711982396,  -0.210168606,  142.2213
391552.0,  51.711982232,  -0.210168294,  142.2273
391552.5,  51.711982275,  -0.210168382,  142.1894
391553.0,  51.711982409,  -0.210168310,  142.1602
391553.5,  51.711982561,  -0.210168173,  142.1256
391554.0,  51.711982705,  -0.210168052,  142.0931
391554.5,  51.711982775,  -0.210168011,  142.0593
391555.0,  51.711982896,  -0.210167815,  142.0329
391555.5,  51.711982952,  -0.210167729,  141.9931
391556.0,  51.711983051,  -0.210167774,  141.9663
391556.5,  51.711983108,  -0.210167793,  141.9309
391557.0,  51.711983199,  -0.210167861,  141.8989
391557.5,  51.711983224,  -0.210167998,  141.8738
391558.0,  51.711983205,  -0.210168201,  141.8530
391558.5,  51.711983249,  -0.210168343,  141.8472
391559.0,  51.711983287,  -0.210168413,  141.8210
391559.5,  51.711983273,  -0.210168573,  141.7994
391560.0,  51.711983282,  -0.210168680,  141.7633
391560.5,  51.711983294,  -0.210168725,  141.7187
391561.0,  51.711983228,  -0.210168870,  141.6892
391561.5,  51.711983170,  -0.210169047,  141.6725
391562.0,  51.711983093,  -0.210169191,  141.6485
391562.5,  51.711983006,  -0.210169342,  141.5979
391563.0,  51.711982935,  -0.210169514,  141.5661
391563.5,  51.711982854,  -0.210169647,  141.5390
391564.0,  51.711982779,  -0.210169817,  141.5127
391564.5,  51.711982698,  -0.210170034,  141.4795
391565.0,  51.711982536,  -0.210170245,  141.4665
391565.5,  51.711982442,  -0.210170423,  141.4423
391566.0,  51.711983164,  -0.210169578,  141.2958
391566.5,  51.711982315,  -0.210170663,  141.3892
391567.0,  51.711982241,  -0.210170831,  141.3586
391567.5,  51.711982057,  -0.210171046,  141.3479
391568.0,  51.711981934,  -0.210171188,  141.3365
391568.5,  51.711981906,  -0.210171302,  141.3299
391569.0,  51.711981912,  -0.210171282,  141.3050
391569.5,  51.711981849,  -0.210171322,  141.2890
391570.0,  51.711981912,  -0.210171350,  141.2665
391570.5,  51.711981962,  -0.210171334,  141.2490
391571.0,  51.711982021,  -0.210171506,  141.2438
391571.5,  51.711982007,  -0.210171509,  141.2244
391572.0,  51.711982082,  -0.210171493,  141.2037
391572.5,  51.711982104,  -0.210171553,  141.1820
391573.0,  51.711982190,  -0.210171536,  141.1598
391573.5,  51.711982192,  -0.210171573,  141.1338
391574.0,  51.711982224,  -0.210171537,  141.1187
391574.5,  51.711982179,  -0.210171519,  141.0837
391575.0,  51.711982156,  -0.210171541,  141.0650
391575.5,  51.711982127,  -0.210171404,  141.0610
391576.0,  51.711982071,  -0.210171499,  141.0351
391576.5,  51.711982002,  -0.210171500,  141.0257
391577.0,  51.711982040,  -0.210171448,  140.9901
391577.5,  51.711982070,  -0.210171388,  140.9758
391578.0,  51.711982032,  -0.210171383,  140.9527
391578.5,  51.711982015,  -0.210171425,  140.9450
391579.0,  51.711982017,  -0.210171417,  140.9212
391579.5,  51.711982015,  -0.210171538,  140.9072
391580.0,  51.711982054,  -0.210171537,  140.8918
391580.5,  51.711982089,  -0.210171606,  140.8589
391581.0,  51.711982053,  -0.210171688,  140.8700
391581.5,  51.711982027,  -0.210171714,  140.8402
391582.0,  51.711981981,  -0.210171779,  140.8260
391582.5,  51.711981944,  -0.210171858,  140.8136
391583.0,  51.711981926,  -0.210171943,  140.7987
391583.5,  51.711981880,  -0.210171999,  140.7863
391584.0,  51.711981855,  -0.210171987,  140.7780
391584.5,  51.711981821,  -0.210172095,  140.7660
391585.0,  51.711981755,  -0.210172224,  140.7701
391585.5,  51.711981667,  -0.210172250,  140.7806
391586.0,  51.711981646,  -0.210172247,  140.7595
391586.5,  51.711981613,  -0.210172286,  140.7533
391587.0,  51.711981653,  -0.210172332,  140.7554
