gps_sow,  rssi, ber
392213.2400,  -73, 0.0
392213.2500,  -73, 0.0
392213.2510,  -71, 0.0
392213.4600,  -72, 0.0
392214.1800,  -74, 0.0
392214.2800,  -72, 0.0
392214.4600,  -73, 0.0
392214.4700,  -73, 0.0
392214.4710,  -73, 0.0
392214.7100,  -74, 0.0
392214.7500,  -73, 0.0
392215.0100,  -71, 0.0
392215.2100,  -72, 0.0
392215.5400,  -72, 0.0
392215.5410,  -72, 0.0
392215.7100,  -73, 0.0
392215.9600,  -77, 0.0
392216.3900,  -74, 0.0
392216.4800,  -73, 0.0
392216.7200,  -77, 0.0
392216.7500,  -76, 0.0
392216.9900,  -77, 0.0
392216.9910,  -76, 0.0
392217.2100,  -73, 0.0
392217.5000,  -77, 0.0
392217.7200,  -79, 0.0
392217.7400,  -80, 0.0
392217.7500,  -79, 0.0
392218.0100,  -77, 0.0
392218.0200,  -79, 0.0
392218.2200,  -72, 0.0
392218.5000,  -73, 0.0
392218.5200,  -72, 0.0
392218.7200,  -73, 0.0
392219.0600,  -70, 0.0
392219.2200,  -75, 0.0
392219.5000,  -73, 0.0
392219.8600,  -72, 0.0
392220.2400,  -72, 0.0
392220.5200,  -70, 0.0
392220.6100,  -71, 0.0
392220.6200,  -72, 0.0
392220.6300,  -71, 0.0
392220.8800,  -73, 0.0
392221.1300,  -73, 0.0
392221.3100,  -72, 0.0
392221.5200,  -73, 0.0
392221.7800,  -73, 0.0
392222.1300,  -72, 0.0
392222.3700,  -72, 0.0
392222.4800,  -74, 0.0
392222.7300,  -72, 0.0
392222.9800,  -74, 0.0
392223.2900,  -75, 0.0
392223.4900,  -74, 0.0
392223.7300,  -73, 0.0
392223.9900,  -74, 0.0
392224.0200,  -73, 0.0
392224.2300,  -73, 0.0
392224.4800,  -75, 0.0
392224.4900,  -75, 0.0
392224.7300,  -77, 0.0
392225.1000,  -77, 0.0
392225.2500,  -79, 0.0
392225.6500,  -75, 0.0
392225.7300,  -74, 0.0
392225.9900,  -79, 0.0
392226.2400,  -71, 0.0
392226.4900,  -72, 0.0
392226.5000,  -71, 0.0
392226.7600,  -73, 0.0
392227.0600,  -72, 0.0
392227.0700,  -72, 0.0
392227.2700,  -72, 0.0
392227.2800,  -72, 0.0
392227.2810,  -73, 0.0
392227.7200,  -71, 0.0
392227.8600,  -70, 0.0
392227.9900,  -72, 0.0
392228.0000,  -74, 0.0
392228.0600,  -74, 0.0
392228.2400,  -71, 0.0
392228.4900,  -72, 0.0
392228.7500,  -72, 0.0
392229.0500,  -71, 0.0
392229.2500,  -71, 0.0
392229.5000,  -72, 0.0
392229.7500,  -73, 0.0
392229.7600,  -72, 0.0
392229.7800,  -72, 0.0
392230.0000,  -71, 0.0
392230.0400,  -72, 0.0
392230.2600,  -71, 0.0
392230.2700,  -71, 0.0
392230.5000,  -72, 0.0
392230.7500,  -72, 0.0
392230.7600,  -73, 0.0
392231.0000,  -73, 0.0
392231.0100,  -76, 0.0
392231.3100,  -74, 0.0
392231.8500,  -75, 0.0
392231.8600,  -74, 0.0
392231.8700,  -74, 0.0
392232.1100,  -76, 0.0
