timestamp,status,numtx
25,0,1
90,0,1
127,0,1
164,0,1
201,0,1
238,0,1
275,0,1
312,5,1
338,0,1
376,5,1
402,0,1
439,0,1
476,0,1
536,0,1
589,0,1
626,0,1
663,0,1
700,0,1
737,0,1
791,0,1
828,0,1
865,0,1
902,0,1
939,5,1
965,0,1
1002,0,1
1039,0,1
1091,0,1
1128,0,1
1165,0,1
1202,0,1
1239,0,1
1292,0,1
1330,0,1
1367,0,1
1404,5,1
1430,5,1
1456,5,1
1488,0,1
1525,5,1
1555,5,1
1596,0,1
1636,0,1
1673,0,1
1713,0,1
1750,0,1
1799,5,1
1825,0,1
1862,0,1
1910,0,1
1947,0,1
2004,0,1
2041,0,1
2078,0,1
2120,0,1
2157,0,1
2194,0,1
2231,0,1
2268,0,1
2319,0,1
2356,0,1
2412,5,1
2438,0,1
2475,0,1
2527,5,1
2556,0,1
2593,0,1
2630,0,1
2667,0,1
2724,0,1
2761,0,1
2798,0,1
2840,0,1
2877,0,1
2933,0,1
2970,5,1
2998,0,1
3035,0,1
3072,0,1
3109,0,1
3146,0,1
3183,0,1
3246,0,1
3283,0,1
3320,0,1
3358,0,1
3395,0,1
3450,5,1
3477,0,1
3515,0,1
3552,0,1
3589,5,1
3615,0,1
3657,0,1
3694,5,1
3720,5,1
3761,0,1
3798,0,1
3835,0,1
3875,0,1
3912,0,1
3963,0,1
4000,0,1
4037,0,1
4078,0,1
4115,5,1
4141,0,1
4178,5,1
4204,0,1
4241,0,1
4278,0,1
4316,0,1
4369,0,1
4406,5,1
4479,0,1
4516,0,1
4560,0,1
4597,0,1
4634,0,1
4679,0,1
4716,0,1
4763,0,1
4801,0,1
4838,0,1
4880,0,1
4917,0,1
4959,0,1
4996,0,1
5033,0,1
5079,0,1
5116,0,1
5165,0,1
5202,5,1
5233,0,1
5278,0,1
5315,0,1
5363,0,1
5400,0,1
5437,0,1
5480,0,1
5517,0,1
5560,0,1
5597,0,1
5634,0,1
5678,0,1
5715,5,1
5741,0,1
5780,0,1
5817,0,1
5859,0,1
5896,0,1
5933,0,1
5978,0,1
6015,0,1
6061,5,1
6088,0,1
6128,0,1
6165,0,1
6202,0,1
6239,0,1
