gps_sow, status, num_tx
392540.0, 0, 1
392540.25, 0, 1
392540.5, 0, 1
392540.75, 0, 1
392541.0, 0, 1
392541.25, 0, 1
392541.5, 0, 1
392541.75, 0, 1
392542.0, 0, 1
392542.25, 0, 1
392542.5, 0, 1
392542.75, 0, 1
392543.0, 0, 1
392543.25, 0, 1
392543.5, 0, 1
392543.75, 0, 1
392544.0, 0, 1
392544.25, 0, 1
392544.5, 0, 1
392544.75, 0, 1
392545.0, 0, 1
392545.25, 0, 1
392545.5, 0, 1
392545.75, 0, 1
392546.0, 0, 1
392546.25, 0, 1
392546.5, 0, 1
392546.75, 0, 1
392547.0, 0, 1
392547.25, 0, 1
392547.5, 0, 1
392547.75, 0, 1
392548.0, 0, 1
392548.25, 0, 1
392548.5, 0, 1
392548.75, 0, 1
392549.0, 0, 1
392549.25, 0, 1
392549.5, 0, 1
392549.75, 0, 1
392550.0, 0, 1
392550.25, 0, 1
392550.5, 0, 1
392550.75, 0, 1
392551.0, 0, 1
392551.25, 0, 1
392551.5, 0, 1
392551.75, 0, 1
392552.0, 0, 1
392552.25, 0, 1
392552.5, 0, 1
392552.75, 0, 1
392553.0, 0, 1
392553.25, 0, 1
392553.5, 0, 1
392553.75, 0, 1
392554.0, 0, 1
392554.25, 0, 1
392554.5, 0, 1
392554.75, 0, 1
392555.0, 0, 1
392555.25, 0, 1
392555.5, 0, 1
392555.75, 0, 1
392556.0, 0, 1
392556.25, 0, 1
392556.5, 0, 1
392556.75, 0, 1
392557.0, 0, 1
392557.25, 0, 1
392557.5, 0, 1
392557.75, 0, 1
392558.0, 0, 1
392558.25, 0, 1
392558.5, 0, 1
392558.75, 0, 1
392559.0, 0, 1
392559.25, 0, 1
392559.5, 0, 1
392559.75, 0, 1
392560.0, 0, 1
392560.25, 0, 1
392560.5, 0, 1
392560.75, 0, 1
392561.0, 0, 1
392561.25, 0, 1
392561.5, 0, 1
392561.75, 0, 1
392562.0, 0, 1
392562.25, 0, 1
392562.5, 0, 1
392562.75, 0, 1
392563.0, 0, 1
392563.25, 0, 1
392563.5, 0, 1
392563.75, 0, 1
392564.0, 0, 1
392564.25, 0, 1
392564.5, 0, 1
392564.75, 0, 1
392565.0, 0, 1
392565.25, 0, 1
392565.5, 0, 1
392565.75, 0, 1
392566.0, 0, 1
392566.25, 0, 1
392566.5, 0, 1
392566.75, 0, 1
392567.0, 0, 1
392567.25, 0, 1
392567.5, 0, 1
392567.75, 0, 1
392568.0, 0, 1
392568.25, 0, 1
392568.5, 0, 1
392568.75, 0, 1
392569.0, 0, 1
392569.25, 0, 1
392569.5, 0, 1
392569.75, 0, 1
392570.0, 0, 1
392570.25, 0, 1
392570.5, 0, 1
392570.75, 0, 1
392571.0, 0, 1
392571.25, 0, 1
392571.5, 0, 1
392571.75, 0, 1
392572.0, 0, 1
392572.25, 0, 1
392572.5, 0, 1
392572.75, 0, 1
392573.0, 0, 1
392573.25, 0, 1
392573.5, 0, 1
392573.75, 0, 1
392574.0, 0, 1
392574.25, 0, 1
392574.5, 0, 1
392574.75, 0, 1
392575.0, 0, 1
392575.25, 0, 1
392575.5, 0, 1
392575.75, 0, 1
392576.0, 0, 1
392576.25, 0, 1
392576.5, 0, 1
392576.75, 0, 1
392577.0, 0, 1
392577.25, 0, 1
392577.5, 0, 1
392577.75, 0, 1
392578.0, 0, 1
392578.25, 0, 1
392578.5, 0, 1
392578.75, 0, 1
392579.0, 0, 1
392579.25, 0, 1
392579.5, 0, 1
392579.75, 0, 1
392580.0, 0, 1
392580.25, 0, 1
392580.5, 0, 1
392580.75, 0, 1
392581.0, 0, 1
392581.25, 0, 1
392581.5, 0, 1
392581.75, 0, 1
392582.0, 0, 1
392582.25, 0, 1
392582.5, 0, 1
392582.75, 0, 1
392583.0, 0, 1
392583.25, 0, 1
392583.5, 0, 1
392583.75, 0, 1
392584.0, 0, 1
392584.25, 0, 1
392584.5, 0, 1
392584.75, 0, 1
392585.0, 0, 1
392585.25, 0, 1
392585.5, 0, 1
392585.75, 0, 1
392586.0, 0, 1
392586.25, 0, 1
392586.5, 0, 1
392586.75, 0, 1
392587.0, 0, 1
392587.25, 0, 1
392587.5, 0, 1
392587.75, 0, 1
392588.0, 0, 1
392588.25, 0, 1
392588.5, 0, 1
392588.75, 0, 1
392589.0, 0, 1
392589.25, 0, 1
392589.5, 0, 1
392589.75, 0, 1
392590.0, 0, 1
392590.25, 0, 1
392590.5, 0, 1
392590.75, 0, 1
392591.0, 0, 1
392591.25, 0, 1
392591.5, 0, 1
392591.75, 0, 1
392592.0, 0, 1
392592.25, 0, 1
392592.5, 0, 1
392592.75, 0, 1
392593.0, 0, 1
392593.25, 0, 1
392593.5, 0, 1
392593.75, 0, 1
392594.0, 0, 1
392594.25, 0, 1
392594.5, 0, 1
392594.75, 0, 1
392595.0, 0, 1
392595.25, 0, 1
392595.5, 0, 1
392595.75, 0, 1
392596.0, 0, 1
392596.25, 0, 1
392596.5, 0, 1
392596.75, 0, 1
392597.0, 0, 1
392597.25, 0, 1
392597.5, 0, 1
392597.75, 0, 1
392598.0, 0, 1
392598.25, 0, 1
392598.5, 0, 1
392598.75, 0, 1
392599.0, 0, 1
392599.25, 0, 1
392599.5, 0, 1
392599.75, 0, 1
392600.0, 0, 1
392600.25, 0, 1
392600.5, 0, 1
392600.75, 0, 1
392601.0, 0, 1
392601.25, 0, 1
392601.5, 0, 1
392601.75, 0, 1
392602.0, 0, 1
392602.25, 0, 1
392602.5, 0, 1
392602.75, 0, 1
392603.0, 0, 1
392603.25, 0, 1
392603.5, 0, 1
392603.75, 0, 1
392604.0, 0, 1
392604.25, 0, 1
392604.5, 0, 1
392604.75, 0, 1
392605.0, 0, 1
392605.25, 0, 1
392605.5, 0, 1
392605.75, 0, 1
392606.0, 0, 1
392606.25, 0, 1
392606.5, 0, 1
392606.75, 0, 1
392607.0, 0, 1
392607.25, 0, 1
392607.5, 0, 1
392607.75, 0, 1
392608.0, 0, 1
392608.25, 0, 1
392608.5, 0, 1
392608.75, 0, 1
392609.0, 0, 1
392609.25, 0, 1
392609.5, 0, 1
392609.75, 0, 1
392610.0, 0, 1
392610.25, 0, 1
392610.5, 0, 1
392610.75, 0, 1
392611.0, 0, 1
392611.25, 0, 1
392611.5, 0, 1
392611.75, 0, 1
392612.0, 0, 1
392612.25, 0, 1
392612.5, 0, 1
392612.75, 0, 1
392613.0, 0, 1
392613.25, 0, 1
392613.5, 0, 1
392613.75, 0, 1
392614.0, 0, 1
392614.25, 0, 1
392614.5, 0, 1
392614.75, 0, 1
392615.0, 0, 1
392615.25, 0, 1
392615.5, 0, 1
392615.75, 0, 1
392616.0, 0, 1
392616.25, 0, 1
392616.5, 0, 1
392616.75, 0, 1
392617.0, 0, 1
392617.25, 0, 1
392617.5, 0, 1
392617.75, 0, 1
392618.0, 0, 1
392618.25, 0, 1
392618.5, 0, 1
392618.75, 0, 1
392619.0, 0, 1
392619.25, 0, 1
392619.5, 0, 1
392619.75, 0, 1
392620.0, 0, 1
392620.25, 0, 1
392620.5, 0, 1
392620.75, 0, 1
392621.0, 0, 1
392621.25, 0, 1
392621.5, 0, 1
392621.75, 0, 1
392622.0, 0, 1
392622.25, 0, 1
392622.5, 0, 1
392622.75, 0, 1
392623.0, 0, 1
392623.25, 0, 1
392623.5, 0, 1
392623.75, 0, 1
392624.0, 0, 1
392624.25, 0, 1
392624.5, 0, 1
392624.75, 0, 1
392625.0, 0, 1
392625.25, 0, 1
392625.5, 0, 1
392625.75, 0, 1
392626.0, 0, 1
392626.25, 0, 1
392626.5, 0, 1
392626.75, 0, 1
392627.0, 0, 1
392627.25, 0, 1
392627.5, 0, 1
392627.75, 0, 1
392628.0, 0, 1
392628.25, 0, 1
392628.5, 0, 1
392628.75, 0, 1
392629.0, 0, 1
392629.25, 0, 1
392629.5, 0, 1
392629.75, 0, 1
392630.0, 0, 1
392630.25, 0, 1
392630.5, 0, 1
392630.75, 0, 1
392631.0, 0, 1
392631.25, 0, 1
392631.5, 0, 1
392631.75, 0, 1
392632.0, 0, 1
392632.25, 0, 1
392632.5, 0, 1
392632.75, 0, 1
392633.0, 0, 1
392633.25, 0, 1
392633.5, 0, 1
392633.75, 0, 1
392634.0, 0, 1
392634.25, 0, 1
392634.5, 0, 1
392634.75, 0, 1
392635.0, 0, 1
392635.25, 0, 1
392635.5, 0, 1
392635.75, 0, 1
392636.0, 0, 1
392636.25, 0, 1
392636.5, 0, 1
392636.75, 0, 1
392637.0, 0, 1
392637.25, 0, 1
392637.5, 0, 1
392637.75, 0, 1
392638.0, 0, 1
392638.25, 0, 1
392638.5, 0, 1
392638.75, 0, 1
392639.0, 0, 1
392639.25, 0, 1
392639.5, 0, 1
392639.75, 0, 1
392640.0, 0, 1
392640.25, 0, 1
392640.5, 0, 1
392640.75, 0, 1
392641.0, 0, 1
392641.25, 0, 1
392641.5, 0, 1
392641.75, 0, 1
392642.0, 0, 1
392642.25, 0, 1
392642.5, 0, 1
392642.75, 0, 1
392643.0, 0, 1
392643.25, 0, 1
392643.5, 0, 1
392643.75, 0, 1
392644.0, 0, 1
392644.25, 0, 1
