gps_sow, latitude, longitude, height
405883.5,  51.711956023,  -0.210231963,  145.0553
405884.0,  51.711956113,  -0.210231596,  144.8542
405884.5,  51.711955920,  -0.210231710,  144.7477
405885.0,  51.711955317,  -0.210231946,  144.6874
405885.5,  51.711954906,  -0.210232464,  144.6560
405886.0,  51.711954717,  -0.210232575,  144.5633
405886.5,  51.711954834,  -0.210232487,  144.4672
405887.0,  51.711954966,  -0.210232552,  144.3992
405887.5,  51.711954510,  -0.210232913,  144.3733
405888.0,  51.711954356,  -0.210232915,  144.2702
405888.5,  51.711954748,  -0.210233264,  144.2942
405889.0,  51.711954888,  -0.210233526,  144.2946
405889.5,  51.711954967,  -0.210233796,  144.2638
405890.0,  51.711954895,  -0.210234074,  144.2195
405890.5,  51.711955002,  -0.210234165,  144.1215
405891.0,  51.711955096,  -0.210234337,  144.0746
405891.5,  51.711955170,  -0.210234483,  144.0339
405892.0,  51.711955314,  -0.210234491,  143.9432
405892.5,  51.711955229,  -0.210234501,  143.8730
405893.0,  51.711955240,  -0.210234549,  143.8351
405893.5,  51.711955429,  -0.210234584,  143.7220
405894.0,  51.711955560,  -0.210234614,  143.6503
405894.5,  51.711955519,  -0.210234495,  143.5243
405895.0,  51.711955545,  -0.210234517,  143.4630
405895.5,  51.711955673,  -0.210234641,  143.4324
405896.0,  51.711955599,  -0.210234869,  143.3997
405896.5,  51.711955541,  -0.210234792,  143.3316
405897.0,  51.711955359,  -0.210234723,  143.2521
405897.5,  51.711955236,  -0.210234979,  143.2237
405898.0,  51.711955116,  -0.210235025,  143.1587
405898.5,  51.711955155,  -0.210234938,  143.0197
405899.0,  51.711955106,  -0.210234757,  142.8965
405899.5,  51.711955219,  -0.210234628,  142.8217
405900.0,  51.711955233,  -0.210234488,  142.7332
405900.5,  51.711955583,  -0.210234391,  142.6692
405901.0,  51.711955582,  -0.210234490,  142.6800
405901.5,  51.711955504,  -0.210234523,  142.6187
405902.0,  51.711955432,  -0.210234323,  142.5285
405902.5,  51.711955402,  -0.210234149,  142.4600
405903.0,  51.711955598,  -0.210233874,  142.3873
405903.5,  51.711955620,  -0.210233846,  142.3562
405904.0,  51.711955699,  -0.210233661,  142.2456
405904.5,  51.711955702,  -0.210233537,  142.1895
405905.0,  51.711955735,  -0.210233454,  142.1659
405905.5,  51.711955932,  -0.210233382,  142.1536
405906.0,  51.711956141,  -0.210233448,  142.0912
405906.5,  51.711956336,  -0.210233465,  142.0657
405907.0,  51.711956666,  -0.210233516,  142.0498
405907.5,  51.711956857,  -0.210233670,  142.0018
405908.0,  51.711956938,  -0.210233682,  141.9492
405908.5,  51.711957112,  -0.210233654,  141.9184
405909.0,  51.711957290,  -0.210233658,  141.8818
405909.5,  51.711957371,  -0.210233750,  141.8439
405910.0,  51.711957522,  -0.210233991,  141.8054
405910.5,  51.711957676,  -0.210234047,  141.7516
405911.0,  51.711957723,  -0.210234159,  141.6994
405911.5,  51.711957678,  -0.210234148,  141.6228
405912.0,  51.711957688,  -0.210234155,  141.5618
405912.5,  51.711957806,  -0.210234176,  141.5154
405913.0,  51.711957875,  -0.210234259,  141.4687
405913.5,  51.711957769,  -0.210234297,  141.4127
405914.0,  51.711957651,  -0.210234493,  141.3928
405914.5,  51.711957425,  -0.210234636,  141.3621
405915.0,  51.711957383,  -0.210234760,  141.3156
405915.5,  51.711957406,  -0.210234962,  141.2815
405916.0,  51.711957365,  -0.210235009,  141.2274
405916.5,  51.711957317,  -0.210235123,  141.1935
405917.0,  51.711957179,  -0.210235275,  141.1776
405917.5,  51.711956975,  -0.210235423,  141.1443
405918.0,  51.711956891,  -0.210235511,  141.1169
405918.5,  51.711957008,  -0.210235667,  141.1123
405919.0,  51.711956794,  -0.210235872,  141.0951
405919.5,  51.711956664,  -0.210236109,  141.0732
405920.0,  51.711956508,  -0.210236353,  141.1018
405920.5,  51.711956392,  -0.210236663,  141.1365
405921.0,  51.711956303,  -0.210236930,  141.1629
405921.5,  51.711956186,  -0.210236987,  141.1814
405922.0,  51.711956151,  -0.210237202,  141.1726
